IBOV,,,PETR4,,,VALE3,,,DOLAR,
Date,Close,,Date,Close,,Date,Close,,Date,Close
39199.70556,49229,,39199.70556,23.21,,36818.70556,0.84,,39071.99861,2.1535
39202.70556,48956,,39202.70556,22.6,,36819.70556,0.84,,39072.99861,2.1555
39205.70556,49471,,39205.70556,22.8,,36822.70556,0.82,,39073.99861,2.1475
39206.70556,50218,,39206.70556,23.09,,36824.70556,0.81,,39076.99861,2.1475
39211.70556,50277,,39211.70556,22.55,,36825.70556,0.81,,39077.99861,2.1475
39212.70556,50234,,39212.70556,22.23,,36826.70556,0.89,,39078.99861,2.1452
39213.70556,50902,,39213.70556,22.4,,36829.70556,0.91,,39079.99861,2.133
39216.70556,50510,,39216.70556,22.61,,36830.70556,0.92,,39080.99861,2.131
39217.70556,50518,,39217.70556,22.53,,36831.70556,0.88,,39083.99861,2.1325
39218.70556,51737,,39218.70556,23.05,,36833.70556,0.86,,39084.99861,2.131
39219.70556,51631,,39219.70556,23.12,,36836.70556,0.89,,39085.99861,2.1345
39220.70556,52077,,39220.70556,23.25,,36837.70556,0.9,,39086.99861,2.139
39223.70556,52423,,39223.70556,23.47,,36838.70556,0.9,,39087.99861,2.147
39224.70556,52208,,39224.70556,23.4,,36839.70556,0.88,,39090.99861,2.1465
39225.70556,51812,,39225.70556,23.55,,36840.70556,0.9,,39091.99861,2.149
39226.70556,50530,,39226.70556,23.04,,36843.70556,0.87,,39092.99861,2.1496
39227.70556,51617,,39227.70556,23.35,,36846.70556,0.84,,39093.99861,2.1415
39230.70556,52119,,39230.70556,23.48,,36847.70556,0.84,,39094.99861,2.137
39231.70556,51713,,39231.70556,23.06,,36850.70556,0.83,,39097.99861,2.1368
39232.70556,52527,,39232.70556,23.34,,36851.70556,0.85,,39098.99861,2.1396
39233.70556,52268,,39233.70556,23.05,,36852.70556,0.84,,39099.99861,2.1297
39234.70556,53422,,39234.70556,23.5,,36853.70556,0.83,,39100.99861,2.128
39237.70556,53242,,39237.70556,23.75,,36854.70556,0.82,,39101.99861,2.1245
39238.70556,53162,,39238.70556,23.93,,36857.70556,0.81,,39104.99861,2.1285
39240.70556,52049,,39240.70556,23.46,,36858.70556,0.79,,39105.99861,2.1305
39241.70556,52329,,39241.70556,23.7,,36859.70556,0.78,,39106.99861,2.125
39245.70556,52776,,39245.70556,23.96,,36860.70556,0.77,,39107.99861,2.127
39246.70556,52993,,39246.70556,24.58,,36861.70556,0.81,,39108.99861,2.1315
39247.70556,53712,,39247.70556,24.98,,36864.70556,0.83,,39111.99861,2.134
39251.70556,54730,,39251.70556,25.41,,36865.70556,0.88,,39112.99861,2.129
39252.70556,54643,,39252.70556,25.81,,36866.70556,0.89,,39113.99861,2.1203
39253.70556,54029,,39253.70556,25.36,,36867.70556,0.89,,39114.99861,2.1032
39254.70556,54656,,39254.70556,25.65,,36868.70556,0.93,,39115.99861,2.0925
39255.70556,54267,,39255.70556,25.54,,36871.70556,0.92,,39118.99861,2.0897
39258.70556,54041,,39258.70556,25.55,,36873.70556,0.92,,39119.99861,2.0825
39259.70556,53851,,39259.70556,25.35,,36874.70556,0.92,,39120.99861,2.082
39260.70556,54143,,39260.70556,25.6,,36875.70556,0.9,,39121.99861,2.094
39262.70556,54392,,39262.70556,25.82,,36878.70556,0.91,,39122.99861,2.0975
39265.70556,55371,,39265.70556,26.41,,36879.70556,0.92,,39125.99861,2.1105
39266.70556,55699,,39266.70556,26.87,,36880.70556,0.9,,39126.99861,2.1053
39267.70556,55696,,39267.70556,26.92,,36881.70556,0.9,,39127.99861,2.095
39268.70556,55932,,39268.70556,27.04,,36882.70556,0.92,,39128.99861,2.084
39269.70556,56443,,39269.70556,27.37,,36886.70556,0.92,,39129.99861,2.0877
39300.70556,53091,,39273.70556,26.91,,36887.70556,0.96,,39132.99861,2.0881
39301.70556,53802,,39274.70556,27.04,,36888.70556,0.97,,39133.99861,2.0885
39302.70556,55241,,39275.70556,27.63,,36893.70556,0.9,,39134.99861,2.0771
39303.70556,53430,,39276.70556,27.78,,36894.70556,0.96,,39135.99861,2.0715
39304.70556,52638,,39279.70556,27.65,,36895.70556,0.93,,39136.99861,2.0845
39307.70556,52434,,39280.70556,28.1,,36896.70556,0.92,,39139.99861,2.0808
39308.70556,50911,,39281.70556,28.15,,36899.70556,0.91,,39140.99861,2.1015
39309.70556,49285,,39282.70556,28.5,,36900.70556,0.92,,39141.99861,2.116
39311.70556,48558,,39283.70556,28.3,,36901.70556,0.92,,39142.99861,2.1195
39314.70556,49206,,39286.70556,28.7,,36902.70556,0.9,,39143.99861,2.1175
39315.70556,49815,,39287.70556,27.32,,36903.70556,0.9,,39146.99861,2.1355
39316.70556,51744,,39288.70556,27.51,,36906.70556,0.91,,39147.99861,2.1205
39317.70556,51848,,39289.70556,26.2,,36907.70556,0.9,,39148.99861,2.1105
39318.70556,52997,,39290.70556,25.61,,36908.70556,0.92,,39149.99861,2.1014
39321.70556,53078,,39293.70556,26.8,,36909.70556,0.97,,39150.99861,2.092
39322.70556,51645,,39294.70556,26.37,,36910.70556,0.97,,39153.99861,2.0875
39323.70556,52734,,39295.70556,26.45,,36914.70556,0.99,,39154.99861,2.0925
39324.70556,52857,,39296.70556,26.41,,36915.70556,1.02,,39155.99861,2.1075
39329.70556,54832,,39297.70556,25.2,,36917.70556,1.02,,39156.99861,2.0852
39332.70556,54569,,39300.70556,25.3,,36920.70556,1.05,,39157.99861,2.089
39337.70556,53920,,39301.70556,25.49,,36921.70556,1.04,,39160.99861,2.0737
39338.70556,53882,,39302.70556,26.32,,36922.70556,1.06,,39161.99861,2.072
39339.70556,54908,,39303.70556,25.26,,36923.70556,1.04,,39162.99861,2.0676
39344.70556,56666,,39304.70556,24.75,,36924.70556,1.03,,39163.99861,2.0534
39345.70556,57264,,39307.70556,25,,36927.70556,1.02,,39164.99861,2.062
39346.70556,56906,,39308.70556,24.63,,36928.70556,1.02,,39167.99861,2.058
39349.70556,58719,,39309.70556,24.08,,36929.70556,1,,39168.99861,2.0592
39351.70556,58857,,39311.70556,23.4,,36930.70556,0.99,,39169.99861,2.0705
39352.70556,59714,,39314.70556,23.14,,36931.70556,1,,39170.99861,2.051
39353.70556,61052,,39315.70556,23,,36934.70556,1.01,,39171.99861,2.055
39358.70556,62017,,39316.70556,24.29,,36935.70556,1.02,,39174.99861,2.0435
39359.70556,60098,,39317.70556,24.37,,36936.70556,1.02,,39175.99861,2.0339
39360.70556,60406,,39318.70556,24.85,,36937.70556,1.01,,39176.99861,2.0287
39364.70556,62660,,39321.70556,24.76,,36938.70556,1.01,,39177.99861,2.0274
39365.70556,63548,,39322.70556,24.08,,36941.70556,0.98,,39178.99861,2.0274
39366.70556,63197,,39323.70556,24.8,,36942.70556,0.99,,39181.99861,2.0274
39367.70556,62455,,39324.70556,25.06,,36943.70556,0.98,,39182.99861,2.027
39371.70556,62969,,39329.70556,26.23,,36944.70556,1.01,,39183.99861,2.0275
